"symbol","date","open","high","low","close","split_coefficient","price","qtr","eps_est","eps","release_time","Beat_Miss","Close","price2"
"SP500",2016-07-25,2173.71,2173.71,2161.95,2168.48,1,2168.48,NA,NA,NA,NA,NA,1.98924869278048,2169.18
"AAPL",2016-07-26,96.82,97.97,96.42,96.67,28,2706.76,"06/2016",1.39,1.42,"post","Beat",3.16195504882949,2882.6
"AMZN",2016-07-26,742.71,743.13,732.7525,735.59,12,8827.08,NA,NA,NA,NA,NA,5.49357729648992,8840.04
"FB",2016-07-26,122,122.07,120.75,121.22,1,121.22,NA,NA,NA,NA,NA,3.17065898022065,123.34
"GOOGL",2016-07-26,757.52,759.26,752.7503,757.65,1,757.65,NA,NA,NA,NA,NA,1.20885520542481,761.97
"NFLX",2016-07-26,91.03,93.1,90.9,91.41,14,1279.74,NA,NA,NA,NA,NA,11.9646596858639,1288.56
"SP500",2016-07-26,2168.97,2173.54,2160.18,2169.18,1,2169.18,NA,NA,NA,NA,NA,1.98989083570315,2166.58
"AAPL",2016-07-27,104.265,104.35,102.75,102.95,28,2882.6,NA,NA,NA,NA,NA,3.36736601093407,2921.52
"AMZN",2016-07-27,737.97,740.94,733.86,736.67,12,8840.04,NA,NA,NA,NA,NA,5.501643017177,9031.32
"FB",2016-07-27,122.42,125,121.51,123.34,1,123.34,"06/2016",0.81,0.97,"post","Beat",3.22611020145533,125
"GOOGL",2016-07-27,758.97,764.45,755.93,761.97,1,761.97,NA,NA,NA,NA,NA,1.21574790586358,765.84
"NFLX",2016-07-27,91.5,92.06,90.1,92.04,14,1288.56,NA,NA,NA,NA,NA,12.0471204188482,1283.1
"SP500",2016-07-27,2169.81,2174.98,2159.07,2166.58,1,2166.58,NA,NA,NA,NA,NA,1.98750573341895,2170.06
"AAPL",2016-07-28,102.83,104.45,102.82,104.34,28,2921.52,NA,NA,NA,NA,NA,3.41283117611327,2917.88
"AMZN",2016-07-28,745.98,753.36,739.7,752.61,12,9031.32,"06/2016",1.14,1.78,"post","Beat",5.62068707991038,9105.72
"FB",2016-07-28,127.52,128.33,123.63,125,1,125,NA,NA,NA,NA,NA,3.26952955393154,123.94
"GOOGL",2016-07-28,768.84,768.97,759.09,765.84,1,765.84,"06/2016",8.07,8.42,"post","Beat",1.22192261667331,791.34
"NFLX",2016-07-28,91.92,92.21,90.68,91.65,14,1283.1,NA,NA,NA,NA,NA,11.9960732984293,1277.5
"SP500",2016-07-28,2166.05,2172.85,2159.74,2170.06,1,2170.06,NA,NA,NA,NA,NA,1.99069810109164,2173.6
"AAPL",2016-07-29,104.19,104.55,103.68,104.21,28,2917.88,NA,NA,NA,NA,NA,3.40857903836269,2969.4
"AMZN",2016-07-29,765,766,755,758.81,12,9105.72,NA,NA,NA,NA,NA,5.66699029126214,9212.88
"FB",2016-07-29,124.65,125.84,123.71,123.94,1,123.94,NA,NA,NA,NA,NA,3.2418039433142,124.31
"GOOGL",2016-07-29,797.71,803.94,790,791.34,1,791.34,NA,NA,NA,NA,NA,1.26260869565217,800.94
"NFLX",2016-07-29,91.19,91.749,90.59,91.25,14,1277.5,NA,NA,NA,NA,NA,11.9437172774869,1321.18
"SP500",2016-07-29,2168.83,2177.09,2163.49,2173.6,1,2173.6,NA,NA,NA,NA,NA,1.99394550958628,2170.84
"AAPL",2016-08-01,104.41,106.15,104.41,106.05,28,2969.4,NA,NA,NA,NA,NA,3.46876314190926,2925.44
"AMZN",2016-08-01,759.87,770.5,757.06,767.74,12,9212.88,NA,NA,NA,NA,NA,5.73368185212845,9126.96
"FB",2016-08-01,123.85,124.58,122.86,124.31,1,124.31,NA,NA,NA,NA,NA,3.25148175079384,123.09
"GOOGL",2016-08-01,786.67,807.49,785.04,800.94,1,800.94,NA,NA,NA,NA,NA,1.27792580773833,800.12
"NFLX",2016-08-01,91.23,94.67,90.5,94.37,14,1321.18,NA,NA,NA,NA,NA,12.3520942408377,1309.84
"SP500",2016-08-01,2173.15,2178.29,2166.21,2170.84,1,2170.84,NA,NA,NA,NA,NA,1.9914136317769,2157.03
"AAPL",2016-08-02,106.05,106.07,104,104.48,28,2925.44,NA,NA,NA,NA,NA,3.41741040138311,2962.12
"AMZN",2016-08-02,763.81,765.01,757.02,760.58,12,9126.96,NA,NA,NA,NA,NA,5.68020911127707,9055.68
"FB",2016-08-02,124.06,124.8,122.07,123.09,1,123.09,NA,NA,NA,NA,NA,3.21957114234747,122.51
"GOOGL",2016-08-02,797.33,802.32,794.53,800.12,1,800.12,NA,NA,NA,NA,NA,1.27661747108097,798.92
"NFLX",2016-08-02,94,94.08,92.18,93.56,14,1309.84,NA,NA,NA,NA,NA,12.2460732984293,1303.4
"SP500",2016-08-02,2169.94,2170.2,2147.58,2157.03,1,2157.03,NA,NA,NA,NA,NA,1.9787450692597,2163.79
"AAPL",2016-08-03,104.81,105.84,104.77,105.79,28,2962.12,NA,NA,NA,NA,NA,3.46025886640811,2964.36
"AMZN",2016-08-03,757.06,758.89,752.25,754.64,12,9055.68,NA,NA,NA,NA,NA,5.63584764749813,9129.24
"FB",2016-08-03,123.09,123.92,122.31,122.51,1,122.51,NA,NA,NA,NA,NA,3.20440052521723,124.36
"GOOGL",2016-08-03,796.47,799.54,793.02,798.92,1,798.92,NA,NA,NA,NA,NA,1.2747028320702,797.25
"NFLX",2016-08-03,93.28,94.67,92.55,93.1,14,1303.4,NA,NA,NA,NA,NA,12.1858638743456,1308.16
"SP500",2016-08-03,2156.81,2163.79,2152.56,2163.79,1,2163.79,NA,NA,NA,NA,NA,1.98494633519861,2164.25
"AAPL",2016-08-04,105.58,106,105.28,105.87,28,2964.36,NA,NA,NA,NA,NA,3.46287556656231,3009.44
"AMZN",2016-08-04,753.7,765,750.35,760.77,12,9129.24,NA,NA,NA,NA,NA,5.68162808065721,9191.76
"FB",2016-08-04,122.94,124.79,122.51,124.36,1,124.36,NA,NA,NA,NA,NA,3.25278956261541,125.15
"GOOGL",2016-08-04,798.24,800.2,793.92,797.25,1,797.25,NA,NA,NA,NA,NA,1.27203829278022,806.93
"NFLX",2016-08-04,93.2,93.7319,91.82,93.44,14,1308.16,NA,NA,NA,NA,NA,12.2303664921466,1358.42
"SP500",2016-08-04,2163.51,2168.19,2159.07,2164.25,1,2164.25,NA,NA,NA,NA,NA,1.9853683148335,2182.87
"AAPL",2016-08-05,106.27,107.65,106.18,107.48,28,3009.44,NA,NA,NA,NA,NA,3.51553665716555,3034.36
"AMZN",2016-08-05,764.81,768.47,763.09,765.98,12,9191.76,NA,NA,NA,NA,NA,5.72053771471247,9198.72
"FB",2016-08-05,124.98,125.835,124.6184,125.15,1,125.15,NA,NA,NA,NA,NA,3.27345298939626,125.26
"GOOGL",2016-08-05,800.11,807.22,797.81,806.93,1,806.93,NA,NA,NA,NA,NA,1.28748304746709,805.23
"NFLX",2016-08-05,93.77,97.74,93.56,97.03,14,1358.42,NA,NA,NA,NA,NA,12.7002617801047,1331.54
"SP500",2016-08-05,2168.79,2182.87,2168.79,2182.87,1,2182.87,NA,NA,NA,NA,NA,2.00244931657646,2180.89
"AAPL",2016-08-08,107.52,108.37,107.16,108.37,28,3034.36,NA,NA,NA,NA,NA,3.54464744638101,3046.68
"AMZN",2016-08-08,766.81,767,761.015,766.56,12,9198.72,NA,NA,NA,NA,NA,5.72486930545183,9219.72
"FB",2016-08-08,125.25,125.45,124.55,125.26,1,125.26,NA,NA,NA,NA,NA,3.27633017540372,125.06
"GOOGL",2016-08-08,806,807.6,801.69,805.23,1,805.23,NA,NA,NA,NA,NA,1.28477064220183,807.48
